# eta   f(eta)   f'(eta)
4.99 3.27337 0.991385
5 3.28329 0.991546
5.01 3.29321 0.991704
5.02 3.30312 0.991859
5.03 3.31304 0.992011
5.04 3.32296 0.992162
5.05 3.33289 0.992309
5.06 3.34281 0.992454
5.07 3.35273 0.992597
5.08 3.36266 0.992738
5.09 3.37259 0.992876
5.1 3.38252 0.993012
5.11 3.39245 0.993145
5.12 3.40238 0.993276
5.13 3.41232 0.993405
5.14 3.42225 0.993532
5.15 3.43219 0.993657
5.16 3.44212 0.99378
5.17 3.45206 0.9939
5.18 3.462 0.994019
5.19 3.47194 0.994135
5.2 3.48188 0.994249
5.21 3.49183 0.994362
5.22 3.50177 0.994472
5.23 3.51172 0.994581
5.24 3.52166 0.994688
5.25 3.53161 0.994792
5.26 3.54156 0.994895
5.27 3.55151 0.994997
5.28 3.56146 0.995096
5.29 3.57141 0.995194
5.3 3.58136 0.995289
5.31 3.59132 0.995384
5.32 3.60127 0.995476
5.33 3.61123 0.995567
5.34 3.62118 0.995656
5.35 3.63114 0.995744
5.36 3.6411 0.99583
5.37 3.65105 0.995915
5.38 3.66101 0.995998
5.39 3.67097 0.996079
5.4 3.68094 0.996159
5.41 3.6909 0.996238
5.42 3.70086 0.996315
5.43 3.71082 0.99639
5.44 3.72079 0.996465
5.45 3.73075 0.996538
5.46 3.74072 0.996609
5.47 3.75069 0.99668
5.48 3.76065 0.996749
5.49 3.77062 0.996816
5.5 3.78059 0.996883
5.51 3.79056 0.996948
5.52 3.80053 0.997012
5.53 3.8105 0.997074
5.54 3.82047 0.997136
5.55 3.83044 0.997196
5.56 3.84041 0.997256
5.57 3.85039 0.997314
5.58 3.86036 0.997371
5.59 3.87033 0.997427
5.6 3.88031 0.997482
5.61 3.89028 0.997535
5.62 3.90026 0.997588
5.63 3.91024 0.99764
5.64 3.92021 0.997691
5.65 3.93019 0.99774
5.66 3.94017 0.997789
5.67 3.95014 0.997837
5.68 3.96012 0.997884
5.69 3.9701 0.99793
5.7 3.98008 0.997975
5.71 3.99006 0.998019
5.72 4.00004 0.998062
5.73 4.01002 0.998105
5.74 4.02 0.998147
5.75 4.02999 0.998187
5.76 4.03997 0.998227
5.77 4.04995 0.998266
5.78 4.05993 0.998305
5.79 4.06992 0.998342
5.8 4.0799 0.998379
5.81 4.08988 0.998415
5.82 4.09987 0.998451
5.83 4.10985 0.998485
5.84 4.11984 0.998519
5.85 4.12982 0.998553
5.86 4.13981 0.998585
5.87 4.1498 0.998617
5.88 4.15978 0.998648
5.89 4.16977 0.998679
5.9 4.17976 0.998709
5.91 4.18974 0.998738
5.92 4.19973 0.998767
5.93 4.20972 0.998795
5.94 4.21971 0.998823
5.95 4.22969 0.99885
5.96 4.23968 0.998876
5.97 4.24967 0.998902
5.98 4.25966 0.998928
5.99 4.26965 0.998952
6 4.27964 0.998977
6.01 4.28963 0.999
6.02 4.29962 0.999024
6.03 4.30961 0.999046
6.04 4.3196 0.999069
6.05 4.32959 0.999091
6.06 4.33958 0.999112
6.07 4.34957 0.999133
6.08 4.35957 0.999153
6.09 4.36956 0.999173
6.1 4.37955 0.999193
6.11 4.38954 0.999212
6.12 4.39953 0.999231
6.13 4.40953 0.999249
6.14 4.41952 0.999267
6.15 4.42951 0.999284
6.16 4.4395 0.999301
6.17 4.4495 0.999318
6.18 4.45949 0.999335
6.19 4.46948 0.999351
6.2 4.47948 0.999366
6.21 4.48947 0.999382
6.22 4.49947 0.999397
6.23 4.50946 0.999411
6.24 4.51945 0.999426
6.25 4.52945 0.99944
6.26 4.53944 0.999453
6.27 4.54944 0.999467
6.28 4.55943 0.99948
6.29 4.56943 0.999493
6.3 4.57942 0.999505
6.31 4.58942 0.999517
6.32 4.59941 0.999529
6.33 4.60941 0.999541
6.34 4.6194 0.999552
6.35 4.6294 0.999563
6.36 4.63939 0.999574
6.37 4.64939 0.999585
6.38 4.65939 0.999595
6.39 4.66938 0.999606
6.4 4.67938 0.999615
6.41 4.68937 0.999625
6.42 4.69937 0.999635
6.43 4.70937 0.999644
6.44 4.71936 0.999653
6.45 4.72936 0.999662
6.46 4.73936 0.99967
6.47 4.74935 0.999679
6.48 4.75935 0.999687
6.49 4.76935 0.999695
6.5 4.77934 0.999703
6.51 4.78934 0.99971
6.52 4.79934 0.999718
6.53 4.80933 0.999725
6.54 4.81933 0.999732
6.55 4.82933 0.999739
6.56 4.83933 0.999746
6.57 4.84932 0.999753
6.58 4.85932 0.999759
6.59 4.86932 0.999765
6.6 4.87932 0.999772
6.61 4.88932 0.999778
6.62 4.89931 0.999784
6.63 4.90931 0.999789
6.64 4.91931 0.999795
6.65 4.92931 0.9998
6.66 4.9393 0.999806
6.67 4.9493 0.999811
6.68 4.9593 0.999816
6.69 4.9693 0.999821
6.7 4.9793 0.999826
6.71 4.9893 0.99983
6.72 4.99929 0.999835
6.73 5.00929 0.999839
6.74 5.01929 0.999844
6.75 5.02929 0.999848
6.76 5.03929 0.999852
6.77 5.04929 0.999856
6.78 5.05928 0.99986
6.79 5.06928 0.999864
6.8 5.07928 0.999868
6.81 5.08928 0.999871
6.82 5.09928 0.999875
6.83 5.10928 0.999878
6.84 5.11928 0.999882
6.85 5.12928 0.999885
6.86 5.13927 0.999888
6.87 5.14927 0.999891
6.88 5.15927 0.999894
6.89 5.16927 0.999897
6.9 5.17927 0.9999
6.91 5.18927 0.999903
6.92 5.19927 0.999906
6.93 5.20927 0.999908
6.94 5.21927 0.999911
6.95 5.22927 0.999914
6.96 5.23927 0.999916
6.97 5.24926 0.999918
6.98 5.25926 0.999921
6.99 5.26926 0.999923
7 5.27926 0.999925
7.01 5.28926 0.999928
7.02 5.29926 0.99993
7.03 5.30926 0.999932
7.04 5.31926 0.999934
7.05 5.32926 0.999936
7.06 5.33926 0.999938
7.07 5.34926 0.999939
7.08 5.35926 0.999941
7.09 5.36926 0.999943
7.1 5.37926 0.999945
7.11 5.38925 0.999946
7.12 5.39925 0.999948
7.13 5.40925 0.99995
7.14 5.41925 0.999951
7.15 5.42925 0.999953
7.16 5.43925 0.999954
7.17 5.44925 0.999955
7.18 5.45925 0.999957
7.19 5.46925 0.999958
7.2 5.47925 0.999959
7.21 5.48925 0.999961
7.22 5.49925 0.999962
7.23 5.50925 0.999963
7.24 5.51925 0.999964
7.25 5.52925 0.999965
7.26 5.53925 0.999967
7.27 5.54925 0.999968
7.28 5.55925 0.999969
7.29 5.56925 0.99997
7.3 5.57925 0.999971
7.31 5.58925 0.999972
7.32 5.59925 0.999973
7.33 5.60925 0.999974
7.34 5.61925 0.999974
7.35 5.62925 0.999975
7.36 5.63925 0.999976
7.37 5.64925 0.999977
7.38 5.65925 0.999978
7.39 5.66924 0.999978
7.4 5.67924 0.999979
7.41 5.68924 0.99998
7.42 5.69924 0.999981
7.43 5.70924 0.999981
7.44 5.71924 0.999982
7.45 5.72924 0.999983
