# eta   f(eta)   f'(eta)
5.88 4.53943 0.999409
5.89 4.54942 0.999423
5.9 4.55942 0.999437
5.91 4.56941 0.999451
5.92 4.57941 0.999465
5.93 4.5894 0.999478
5.94 4.5994 0.999491
5.95 4.60939 0.999504
5.96 4.61939 0.999516
5.97 4.62938 0.999528
5.98 4.63938 0.99954
5.99 4.64937 0.999551
6 4.65937 0.999563
6.01 4.66936 0.999574
6.02 4.67936 0.999584
6.03 4.68935 0.999595
6.04 4.69935 0.999605
6.05 4.70935 0.999615
6.06 4.71934 0.999625
6.07 4.72934 0.999635
6.08 4.73934 0.999644
6.09 4.74933 0.999653
6.1 4.75933 0.999662
6.11 4.76933 0.99967
6.12 4.77932 0.999679
6.13 4.78932 0.999687
6.14 4.79932 0.999695
6.15 4.80931 0.999703
6.16 4.81931 0.999711
6.17 4.82931 0.999718
6.18 4.8393 0.999726
6.19 4.8493 0.999733
6.2 4.8593 0.99974
6.21 4.8693 0.999746
6.22 4.87929 0.999753
6.23 4.88929 0.99976
6.24 4.89929 0.999766
6.25 4.90929 0.999772
6.26 4.91928 0.999778
6.27 4.92928 0.999784
6.28 4.93928 0.99979
6.29 4.94928 0.999795
6.3 4.95928 0.999801
6.31 4.96927 0.999806
6.32 4.97927 0.999811
6.33 4.98927 0.999816
6.34 4.99927 0.999821
6.35 5.00927 0.999826
6.36 5.01926 0.999831
6.37 5.02926 0.999835
6.38 5.03926 0.99984
6.39 5.04926 0.999844
6.4 5.05926 0.999848
6.41 5.06926 0.999852
6.42 5.07925 0.999856
6.43 5.08925 0.99986
6.44 5.09925 0.999864
6.45 5.10925 0.999868
6.46 5.11925 0.999871
6.47 5.12925 0.999875
6.48 5.13925 0.999878
6.49 5.14925 0.999882
6.5 5.15924 0.999885
6.51 5.16924 0.999888
6.52 5.17924 0.999891
6.53 5.18924 0.999894
6.54 5.19924 0.999897
6.55 5.20924 0.9999
6.56 5.21924 0.999903
6.57 5.22924 0.999905
6.58 5.23924 0.999908
6.59 5.24923 0.999911
6.6 5.25923 0.999913
6.61 5.26923 0.999916
6.62 5.27923 0.999918
6.63 5.28923 0.99992
6.64 5.29923 0.999923
6.65 5.30923 0.999925
6.66 5.31923 0.999927
6.67 5.32923 0.999929
6.68 5.33923 0.999931
6.69 5.34923 0.999933
6.7 5.35923 0.999935
6.71 5.36923 0.999937
6.72 5.37922 0.999939
6.73 5.38922 0.99994
6.74 5.39922 0.999942
6.75 5.40922 0.999944
6.76 5.41922 0.999945
6.77 5.42922 0.999947
6.78 5.43922 0.999948
6.79 5.44922 0.99995
6.8 5.45922 0.999951
6.81 5.46922 0.999953
6.82 5.47922 0.999954
6.83 5.48922 0.999956
6.84 5.49922 0.999957
6.85 5.50922 0.999958
6.86 5.51922 0.999959
6.87 5.52922 0.999961
6.88 5.53922 0.999962
6.89 5.54922 0.999963
6.9 5.55922 0.999964
6.91 5.56922 0.999965
6.92 5.57922 0.999966
6.93 5.58922 0.999967
6.94 5.59921 0.999968
6.95 5.60921 0.999969
6.96 5.61921 0.99997
6.97 5.62921 0.999971
6.98 5.63921 0.999972
6.99 5.64921 0.999973
7 5.65921 0.999973
7.01 5.66921 0.999974
7.02 5.67921 0.999975
7.03 5.68921 0.999976
7.04 5.69921 0.999977
7.05 5.70921 0.999977
7.06 5.71921 0.999978
7.07 5.72921 0.999979
7.08 5.73921 0.999979
7.09 5.74921 0.99998
7.1 5.75921 0.999981
7.11 5.76921 0.999981
7.12 5.77921 0.999982
7.13 5.78921 0.999982
7.14 5.79921 0.999983
7.15 5.80921 0.999983
7.16 5.81921 0.999984
7.17 5.82921 0.999984
7.18 5.83921 0.999985
7.19 5.84921 0.999985
7.2 5.85921 0.999986
7.21 5.86921 0.999986
7.22 5.87921 0.999987
7.23 5.88921 0.999987
7.24 5.89921 0.999988
7.25 5.90921 0.999988
7.26 5.91921 0.999988
7.27 5.92921 0.999989
7.28 5.93921 0.999989
7.29 5.94921 0.999989
7.3 5.95921 0.99999
7.31 5.96921 0.99999
7.32 5.97921 0.999991
7.33 5.98921 0.999991
7.34 5.99921 0.999991
7.35 6.00921 0.999991
7.36 6.01921 0.999992
7.37 6.02921 0.999992
7.38 6.03921 0.999992
7.39 6.04921 0.999993
7.4 6.05921 0.999993
7.41 6.06921 0.999993
7.42 6.07921 0.999993
7.43 6.08921 0.999993
7.44 6.09921 0.999994
7.45 6.10921 0.999994
7.46 6.11921 0.999994
7.47 6.12921 0.999994
7.48 6.13921 0.999995
7.49 6.14921 0.999995
7.5 6.15921 0.999995
7.51 6.16921 0.999995
7.52 6.17921 0.999995
7.53 6.18921 0.999995
7.54 6.19921 0.999996
7.55 6.20921 0.999996
7.56 6.21921 0.999996
7.57 6.22921 0.999996
7.58 6.23921 0.999996
7.59 6.24921 0.999996
7.6 6.25921 0.999996
7.61 6.26921 0.999997
7.62 6.27921 0.999997
7.63 6.28921 0.999997
7.64 6.29921 0.999997
7.65 6.30921 0.999997
7.66 6.31921 0.999997
7.67 6.32921 0.999997
7.68 6.33921 0.999997
7.69 6.34921 0.999998
7.7 6.35921 0.999998
7.71 6.36921 0.999998
7.72 6.37921 0.999998
7.73 6.38921 0.999998
7.74 6.39921 0.999998
7.75 6.40921 0.999998
7.76 6.41921 0.999998
7.77 6.42921 0.999998
7.78 6.43921 0.999998
7.79 6.44921 0.999998
7.8 6.45921 0.999998
7.81 6.46921 0.999999
7.82 6.47921 0.999999
7.83 6.48921 0.999999
7.84 6.49921 0.999999
7.85 6.50921 0.999999
7.86 6.51921 0.999999
7.87 6.52921 0.999999
7.88 6.53921 0.999999
7.89 6.54921 0.999999
7.9 6.55921 0.999999
7.91 6.56921 0.999999
7.92 6.57921 0.999999
7.93 6.58921 0.999999
7.94 6.59921 0.999999
7.95 6.60921 0.999999
7.96 6.61921 0.999999
7.97 6.62921 0.999999
7.98 6.63921 0.999999
7.99 6.64921 0.999999
8 6.65921 0.999999
